OriginCountryCode,OriginCountryPoints_Geometry
PRT,"[-8.13057,39.6945]"
OMN,"[57.0,21.0]"
FRA,"[2.0,46.0]"
JPN,"[139.75309,35.68536]"
NLD,"[5.75,52.25]"
VCT,"[-61.2,13.08333]"
CHE,"[8.01427,47.00016]"
SVK,"[19.5,48.66667]"
WSM,"[-172.13333,-13.8]"
QAT,"[51.25,25.5]"
IRL,"[-8.0,53.0]"
UZB,"[63.83333,41.66667]"
SWZ,"[31.5,-26.5]"
BLR,"[28.0,53.0]"
AND,"[1.58333,42.55]"
JAM,"[-77.25,18.16667]"
KGZ,"[75.0,41.5]"
PRK,"[127.0,40.0]"
DNK,"[10.0,56.0]"
AUT,"[13.33333,47.33333]"
AUS,"[135.0,-25.0]"
BEL,"[4.5,50.75]"
SVN,"[15.0,46.08333]"
MHL,"[171.236,7.113]"
GIB,"[-5.35,36.13333]"
VIR,"[-64.98348,18.34829]"
VAT,"[12.4533,41.90225]"
NCL,"[165.5,-21.5]"
ABW,"[-69.96667,12.5]"
MNE,"[19.25,42.75]"
DMA,"[-61.33333,15.5]"
MAC,"[113.55972,22.15778]"
BMU,"[-64.74003,32.33022]"
ATG,"[-61.8,17.05]"
MCO,"[7.41903,43.73141]"
ARE,"[54.5,23.75]"
SMR,"[12.4463,43.9367]"
BHS,"[-77.37122,25.04082]"
TUV,"[179.14478,-8.51719]"
LCA,"[-60.96667,13.88333]"
PNG,"[147.0,-6.0]"
PLW,"[134.621,7.503]"
FSM,"[158.162,6.924]"
CYM,"[-80.66667,19.5]"
NZL,"[174.0,-42.0]"
TLS,"[125.75,-8.83333]"
NRU,"[166.933,-0.517]"
VUT,"[167.0,-16.0]"
ZMB,"[28.5,-14.33333]"
NGA,"[100.0,60.0]"
SYR,"[38.0,35.0]"
NAM,"[17.0,-22.0]"
ETH,"[39.5,9.0]"
ROU,"[25.0,46.0]"
CZE,"[15.0,49.75]"
POL,"[20.0,52.0]"
LSO,"[28.25,-29.5]"
BRA,"[-55.0,-10.0]"
BGR,"[25.25,42.66667]"
TCD,"[19.0,15.0]"
CUB,"[-79.5,22.0]"
ALB,"[20.0,41.0]"
CHN,"[105.0,35.0]"
GNB,"[-15.0,12.0]"
VNM,"[107.83333,16.16667]"
COD,"[23.5,-2.5]"
AGO,"[18.5,-12.5]"
COG,"[15.5,-1.0]"
CPV,"[-24.0,16.0]"
GRC,"[22.0,39.0]"
HUN,"[20.0,47.0]"
ARM,"[45.0,40.25]"
RUS,"[100.0,60.0]"
CRI,"[-84.0,10.0]"
THA,"[101.0,15.5]"
PRY,"[-58.0,-23.33333]"
MNG,"[105.0,46.0]"
BHR,"[50.55,26.03333]"
BIH,"[17.83333,44.25]"
HRV,"[15.5,45.16667]"
GAB,"[11.75,-1.0]"
AZE,"[47.5,40.5]"
EST,"[26.0,59.0]"
CAN,"[-113.64258,60.10867]"
MYS,"[112.5,2.5]"
SUR,"[-56.0,4.0]"
EGY,"[30.0,27.0]"
GTM,"[-90.25,15.5]"
MMR,"[96.0,21.0]"
CHL,"[-71.0,-30.0]"
UGA,"[32.5,1.25]"
ZWE,"[29.75,-19.0]"
KEN,"[38.0,1.0]"
TUR,"[35.0,39.0]"
GUY,"[-59.0,5.0]"
TGO,"[1.08333,8.66667]"
STP,"[7.0,1.0]"
HND,"[-86.5,15.0]"
MDV,"[73.0,3.2]"
LTU,"[24.0,55.41667]"
IRN,"[53.0,32.0]"
JOR,"[36.0,31.0]"
PAN,"[-80.0,9.0]"
KAZ,"[68.0,48.0]"
BTN,"[90.5,27.5]"
BDI,"[30.0,-3.5]"
RWA,"[30.0,-2.0]"
BRN,"[114.66667,4.5]"
LIE,"[9.53333,47.16667]"
LUX,"[6.16667,49.75]"
NIU,"[-169.86667,-19.03333]"
BRB,"[-59.55165,13.16453]"
MKD,"[21.75,41.66667]"
ISL,"[-18.0,65.0]"
NOR,"[10.0,62.0]"
PRI,"[-66.49989,18.24829]"
MEX,"[-102.0,23.0]"
MUS,"[57.58333,-20.3]"
SWE,"[15.0,62.0]"
FIN,"[26.0,64.0]"
TKM,"[59.66667,39.75]"
BLZ,"[-88.75,17.25]"
SAU,"[45.0,25.0]"
PYF,"[-140.0,-15.0]"
TCA,"[-71.58333,21.73333]"
COK,"[-159.78516,-21.24842]"
VGB,"[-64.5,18.5]"
SSD,"[30.0,7.5]"
CUW,"[-68.96667,12.16667]"
SXM,"[-63.06667,18.04167]"
MTQ,"[-61.0,14.66667]"
SLB,"[159.0,-8.0]"
TON,"[-175.0,-20.0]"
KIR,"[172.984,1.421]"
KNA,"[-62.75,17.33333]"
IRQ,"[44.0,33.0]"
MWI,"[34.0,-13.5]"
ZAF,"[24.0,-29.0]"
ESP,"[-4.0,40.0]"
BOL,"[-65.0,-17.0]"
RKS,"[-109.06568,41.59413]"
GHA,"[-1.2,8.1]"
SDN,"[30.0,16.0]"
MOZ,"[35.0,-18.25]"
TIB,"[-72.7333,8.63333]"
FJI,"[178.0,-18.0]"
COM,"[44.44553,-12.23333]"
ECU,"[-78.25,-1.25]"
GUF,"[-53.0,4.0]"
NER,"[9.0,18.0]"
CYP,"[33.0,35.0]"
URY,"[-56.0,-33.0]"
SYC,"[55.66667,-4.58333]"
MAR,"[-6.0,32.0]"
LBN,"[35.83333,33.83333]"
BFA,"[-1.66667,12.5]"
MRT,"[-10.5,20.25]"
ARG,"[-64.0,-34.0]"
CAF,"[21.0,7.0]"
LBY,"[17.0,28.0]"
TUN,"[9.0,34.0]"
COL,"[-73.25,4.0]"
LKA,"[80.75,7.75]"
SLE,"[-11.5,8.5]"
SGP,"[103.8,1.36667]"
MLT,"[14.43333,35.91667]"
PER,"[-75.25,-10.0]"
GRD,"[-61.66667,12.11667]"
CIV,"[-5.5,8.0]"
REU,"[55.6,-21.1]"
BGD,"[90.0,24.0]"
ISR,"[34.75,31.5]"
GMB,"[-15.5,13.5]"
LBR,"[-9.5,6.5]"
SEN,"[-14.25,14.5]"
HTI,"[-72.41667,19.0]"
TZA,"[35.0,-6.0]"
GNQ,"[10.5,1.7]"
ESH,"[-12.65625,24.49215]"
LAO,"[105.0,18.0]"
KHM,"[105.0,13.0]"
IND,"[79.0,22.0]"
GIN,"[-10.66667,10.83333]"
ERI,"[39.0,15.0]"
YEM,"[47.5,15.5]"
IDN,"[120.0,-5.0]"
AFG,"[66.0,33.0]"
DZA,"[3.0,28.0]"
AIA,"[-63.05,18.21667]"
SLV,"[-88.91667,13.83333]"
GLP,"[-61.58333,16.25]"
MYT,"[45.16667,-12.83333]"
DOM,"[-70.66667,19.0]"
BEN,"[2.25,9.5]"
PSE,"[35.20329,31.92157]"
SOM,"[48.0,6.0]"
NIC,"[-85.0,13.0]"
PHL,"[122.0,13.0]"
PAK,"[70.0,30.0]"
VEN,"[-66.0,8.0]"
TJK,"[71.0,39.0]"
KOR,"[127.75,36.5]"
DEU,"[10.5,51.5]"
MDG,"[47.0,-20.0]"
GUM,"[144.81834,13.47861]"
LVA,"[25.0,57.0]"
NPL,"[84.0,28.0]"
SJM,"[20.0,78.0]"
ITA,"[12.83333,42.83333]"
WLF,"[-176.2,-13.3]"
GEO,"[43.4999,41.99998]"
MDA,"[28.58333,47.25]"
UKR,"[32.0,49.0]"
HKG,"[114.16667,22.25]"
ASM,"[-169.47767,-14.23377]"
KWT,"[47.75,29.5]"
SPM,"[-56.33333,46.83333]"
NFK,"[167.95,-29.03333]"
TTO,"[-61.0,11.0]"
GBR,"[-2.69531,54.75844]"
USA,"[-98.5,39.76]"
MLI,"[-2.0,18.0]"
DJI,"[42.5,11.83333]"
BWA,"[24.0,-22.0]"
CMR,"[12.5,6.0]"
